ID,Metric,Source,Target,Ratio_Delta
2.1,Avg Entropy (Uncalibrated),0.9843867421150208,2.578697919845581,2.6195983849854336
2.2,Avg Entropy (Calibrated),1.6426912546157837,3.6738646030426025,2.236491241260001
2.3,Avg Entropy (TENT Raw),1.6426912546157837,2.578697919845581,1.5698007234163573
2.4,Avg Entropy (TENT + Naive TS),1.6426912546157837,3.6738646030426025,2.236491241260001
2.5,Avg Entropy (TENT + PTS),1.6426912546157837,3.045341968536377,1.8538736113553276
