distortion,severity,variant,accuracy,nll,ece
gaussian_noise,1,f_large,0.7447800040245056,1.2511790990829468,7.050217628479004
gaussian_noise,1,f_small,0.5961400270462036,1.777969241142273,13.968408584594727
gaussian_noise,1,f_large_TS,0.7447800040245056,1.1391608715057373,7.820245265960693
gaussian_noise,1,f_small_TS,0.5961400270462036,1.7734259366989136,10.227335929870605
gaussian_noise,1,Duo_Joint_TS,0.7455800175666809,1.0477639436721802,9.645339965820312
gaussian_noise,2,f_large,0.7082599997520447,1.4386368989944458,6.95413064956665
gaussian_noise,2,f_small,0.48548001050949097,2.4004099369049072,12.690383911132812
gaussian_noise,2,f_large_TS,0.7082599997520447,1.326690912246704,7.711058139801025
gaussian_noise,2,f_small_TS,0.48548001050949097,2.3680903911590576,9.306009292602539
gaussian_noise,2,Duo_Joint_TS,0.7031999826431274,1.280175805091858,9.07561206817627
gaussian_noise,3,f_large,0.628059983253479,1.873407006263733,6.728459358215332
gaussian_noise,3,f_small,0.3150399923324585,3.5978899002075195,10.746587753295898
gaussian_noise,3,f_large_TS,0.628059983253479,1.7642481327056885,7.455173015594482
gaussian_noise,3,f_small_TS,0.3150399923324585,3.480100631713867,7.905280590057373
gaussian_noise,3,Duo_Joint_TS,0.6148999929428101,1.8001298904418945,8.095171928405762
gaussian_noise,4,f_large,0.4898200035095215,2.678950309753418,6.3051676750183105
gaussian_noise,4,f_small,0.13835999369621277,5.2739057540893555,8.805437088012695
gaussian_noise,4,f_large_TS,0.4898200035095215,2.581385374069214,6.976409435272217
gaussian_noise,4,f_small_TS,0.13835999369621277,4.975452423095703,6.508118629455566
gaussian_noise,4,Duo_Joint_TS,0.4743799865245819,2.722118854522705,6.84807014465332
gaussian_noise,5,f_large,0.27042001485824585,4.266141414642334,5.531217575073242
gaussian_noise,5,f_small,0.029980000108480453,7.105774402618408,7.528674125671387
gaussian_noise,5,f_large_TS,0.27042001485824585,4.219559192657471,6.104331970214844
gaussian_noise,5,f_small_TS,0.029980000108480453,6.519094944000244,5.587146282196045
gaussian_noise,5,Duo_Joint_TS,0.2552799880504608,4.385759353637695,5.4696455001831055
shot_noise,1,f_large,0.7390400171279907,1.2829211950302124,7.036505699157715
shot_noise,1,f_small,0.5778800249099731,1.8688997030258179,13.508696556091309
shot_noise,1,f_large_TS,0.7390400171279907,1.1710522174835205,7.804612636566162
shot_noise,1,f_small_TS,0.5778800249099731,1.8710734844207764,9.890396118164062
shot_noise,1,Duo_Joint_TS,0.7401599884033203,1.0805574655532837,9.478097915649414
shot_noise,2,f_large,0.69132000207901,1.5302432775497437,6.92608118057251
shot_noise,2,f_small,0.44558000564575195,2.6563572883605957,12.095848083496094
shot_noise,2,f_large_TS,0.69132000207901,1.4202903509140015,7.678565502166748
shot_noise,2,f_small_TS,0.44558000564575195,2.60994291305542,8.87443733215332
shot_noise,2,Duo_Joint_TS,0.6870999932289124,1.3813148736953735,8.814861297607422
shot_noise,3,f_large,0.6088799834251404,1.9686131477355957,6.727302551269531
shot_noise,3,f_small,0.2852399945259094,3.844343423843384,10.444395065307617
shot_noise,3,f_large_TS,0.6088799834251404,1.865247130393982,7.452007293701172
shot_noise,3,f_small_TS,0.2852399945259094,3.6914985179901123,7.688364028930664
shot_noise,3,Duo_Joint_TS,0.5978599786758423,1.9025462865829468,7.9284844398498535
shot_noise,4,f_large,0.4341999888420105,3.0367074012756348,6.211813926696777
shot_noise,4,f_small,0.09954000264406204,5.907049179077148,8.632116317749023
shot_noise,4,f_large_TS,0.4341999888420105,2.95649790763855,6.868339538574219
shot_noise,4,f_small_TS,0.09954000264406204,5.469527721405029,6.389288425445557
shot_noise,4,Duo_Joint_TS,0.41907998919487,3.1043858528137207,6.550736904144287
shot_noise,5,f_large,0.283160001039505,4.146381855010986,5.698252201080322
shot_noise,5,f_small,0.03700000047683716,7.206846714019775,8.137356758117676
shot_noise,5,f_large_TS,0.283160001039505,4.10599422454834,6.289125442504883
shot_noise,5,f_small_TS,0.03700000047683716,6.511298179626465,6.037677764892578
shot_noise,5,Duo_Joint_TS,0.26848000288009644,4.253139495849609,5.701340198516846
impulse_noise,1,f_large,0.7414199709892273,1.344690203666687,6.774754524230957
impulse_noise,1,f_small,0.4837599992752075,2.4209890365600586,12.222869873046875
impulse_noise,1,f_large_TS,0.7414199709892273,1.2038557529449463,7.517238616943359
impulse_noise,1,f_small_TS,0.4837599992752075,2.4072396755218506,8.959026336669922
impulse_noise,1,Duo_Joint_TS,0.7356399893760681,1.1523064374923706,8.752264022827148
impulse_noise,2,f_large,0.6952199935913086,1.526463270187378,6.838015556335449
impulse_noise,2,f_small,0.38543999195098877,3.0588133335113525,11.438188552856445
impulse_noise,2,f_large_TS,0.6952199935913086,1.40470552444458,7.582186698913574
impulse_noise,2,f_small_TS,0.38543999195098877,2.9908688068389893,8.401152610778809
impulse_noise,2,Duo_Joint_TS,0.684660017490387,1.4196950197219849,8.464418411254883
impulse_noise,3,f_large,0.6429200172424316,1.8046835660934448,6.708286285400391
impulse_noise,3,f_small,0.28933998942375183,3.789147138595581,10.514446258544922
impulse_noise,3,f_large_TS,0.6429200172424316,1.6866567134857178,7.434473514556885
impulse_noise,3,f_small_TS,0.28933998942375183,3.6512703895568848,7.7393693923950195
impulse_noise,3,Duo_Joint_TS,0.6284599900245667,1.7536417245864868,7.948358535766602
impulse_noise,4,f_large,0.46187999844551086,2.8834431171417236,6.164278507232666
impulse_noise,4,f_small,0.11343999952077866,5.571001052856445,8.68813705444336
