distortion,severity,error_rate,ece,Tl,Ts
gaussian_noise,1,0.25442,9.645339965820312,0.614057719707489,1.7131092548370361
gaussian_noise,2,0.29679999999999995,9.07561206817627,0.614057719707489,1.7131092548370361
gaussian_noise,3,0.3851,8.095171928405762,0.614057719707489,1.7131092548370361
gaussian_noise,4,0.52562,6.84807014465332,0.614057719707489,1.7131092548370361
gaussian_noise,5,0.74472,5.4696455001831055,0.614057719707489,1.7131092548370361
shot_noise,1,0.25983999999999996,9.478097915649414,0.614057719707489,1.7131092548370361
shot_noise,2,0.31289999999999996,8.814861297607422,0.614057719707489,1.7131092548370361
shot_noise,3,0.40214000000000005,7.9284844398498535,0.614057719707489,1.7131092548370361
shot_noise,4,0.58092,6.550736904144287,0.614057719707489,1.7131092548370361
shot_noise,5,0.73152,5.701340198516846,0.614057719707489,1.7131092548370361
impulse_noise,1,0.26436000000000004,8.752264022827148,0.614057719707489,1.7131092548370361
impulse_noise,2,0.31533999999999995,8.464418411254883,0.614057719707489,1.7131092548370361
impulse_noise,3,0.37154,7.948358535766602,0.614057719707489,1.7131092548370361
impulse_noise,4,0.55496,6.625361442565918,0.614057719707489,1.7131092548370361
impulse_noise,5,0.78148,5.451657295227051,0.614057719707489,1.7131092548370361
defocus_blur,1,0.2882,9.206986427307129,0.614057719707489,1.7131092548370361
defocus_blur,2,0.34294,8.740339279174805,0.614057719707489,1.7131092548370361
defocus_blur,3,0.47522,7.836460590362549,0.614057719707489,1.7131092548370361
defocus_blur,4,0.6078600000000001,7.154555797576904,0.614057719707489,1.7131092548370361
defocus_blur,5,0.73432,6.693346977233887,0.614057719707489,1.7131092548370361
glass_blur,1,0.30776000000000003,9.066431045532227,0.614057719707489,1.7131092548370361
glass_blur,2,0.40896,8.443636894226074,0.614057719707489,1.7131092548370361
glass_blur,3,0.6995,7.507273197174072,0.614057719707489,1.7131092548370361
glass_blur,4,0.77598,7.279420852661133,0.614057719707489,1.7131092548370361
glass_blur,5,0.84598,6.879931449890137,0.614057719707489,1.7131092548370361
motion_blur,1,0.23714000000000002,9.541810035705566,0.614057719707489,1.7131092548370361
motion_blur,2,0.29012000000000004,9.008462905883789,0.614057719707489,1.7131092548370361
motion_blur,3,0.39922,8.255748748779297,0.614057719707489,1.7131092548370361
motion_blur,4,0.5554399999999999,7.533420085906982,0.614057719707489,1.7131092548370361
motion_blur,5,0.659,7.163759708404541,0.614057719707489,1.7131092548370361
zoom_blur,1,0.34056,8.849751472473145,0.614057719707489,1.7131092548370361
zoom_blur,2,0.42557999999999996,8.458330154418945,0.614057719707489,1.7131092548370361
zoom_blur,3,0.50412,8.095175743103027,0.614057719707489,1.7131092548370361
zoom_blur,4,0.5791999999999999,7.853217124938965,0.614057719707489,1.7131092548370361
zoom_blur,5,0.65552,7.570773601531982,0.614057719707489,1.7131092548370361
snow,1,0.28916,8.882482528686523,0.614057719707489,1.7131092548370361
snow,2,0.43544000000000005,7.849059104919434,0.614057719707489,1.7131092548370361
snow,3,0.41874,7.7509989738464355,0.614057719707489,1.7131092548370361
snow,4,0.5072,7.265423774719238,0.614057719707489,1.7131092548370361
snow,5,0.58182,7.364948272705078,0.614057719707489,1.7131092548370361
frost,1,0.24836000000000003,9.003514289855957,0.614057719707489,1.7131092548370361
frost,2,0.34219999999999995,7.830137729644775,0.614057719707489,1.7131092548370361
frost,3,0.42882,7.178719997406006,0.614057719707489,1.7131092548370361
frost,4,0.44928,7.045742034912109,0.614057719707489,1.7131092548370361
frost,5,0.51518,6.733562469482422,0.614057719707489,1.7131092548370361
fog,1,0.24480000000000002,8.892251014709473,0.614057719707489,1.7131092548370361
fog,2,0.26761999999999997,8.512323379516602,0.614057719707489,1.7131092548370361
fog,3,0.32948,7.6755876541137695,0.614057719707489,1.7131092548370361
fog,4,0.4213,7.042093753814697,0.614057719707489,1.7131092548370361
fog,5,0.6235200000000001,6.438179969787598,0.614057719707489,1.7131092548370361
brightness,1,0.19188000000000005,10.185661315917969,0.614057719707489,1.7131092548370361
brightness,2,0.20043999999999995,10.040730476379395,0.614057719707489,1.7131092548370361
brightness,3,0.21326,9.800155639648438,0.614057719707489,1.7131092548370361
brightness,4,0.23382000000000003,9.456596374511719,0.614057719707489,1.7131092548370361
brightness,5,0.2649,9.043880462646484,0.614057719707489,1.7131092548370361
contrast,1,0.22419999999999995,9.319194793701172,0.614057719707489,1.7131092548370361
contrast,2,0.24092000000000002,9.021900177001953,0.614057719707489,1.7131092548370361
contrast,3,0.27498,8.428024291992188,0.614057719707489,1.7131092548370361
contrast,4,0.38029999999999997,7.013967037200928,0.614057719707489,1.7131092548370361
contrast,5,0.62172,5.562367916107178,0.614057719707489,1.7131092548370361
elastic_transform,1,0.23594000000000004,9.571330070495605,0.614057719707489,1.7131092548370361
elastic_transform,2,0.40528,8.703657150268555,0.614057719707489,1.7131092548370361
elastic_transform,3,0.30476000000000003,9.040669441223145,0.614057719707489,1.7131092548370361
elastic_transform,4,0.4155,8.509139060974121,0.614057719707489,1.7131092548370361
elastic_transform,5,0.7016800000000001,7.933473587036133,0.614057719707489,1.7131092548370361
pixelate,1,0.25451999999999997,9.660490036010742,0.614057719707489,1.7131092548370361
pixelate,2,0.28788,9.606976509094238,0.614057719707489,1.7131092548370361
pixelate,3,0.36004,8.856273651123047,0.614057719707489,1.7131092548370361
pixelate,4,0.49132,7.912069797515869,0.614057719707489,1.7131092548370361
pixelate,5,0.67066,6.88059139251709,0.614057719707489,1.7131092548370361
jpeg_compression,1,0.2561,9.805472373962402,0.614057719707489,1.7131092548370361
jpeg_compression,2,0.27846000000000004,9.623088836669922,0.614057719707489,1.7131092548370361
jpeg_compression,3,0.29591999999999996,9.45602035522461,0.614057719707489,1.7131092548370361
jpeg_compression,4,0.35206000000000004,8.845050811767578,0.614057719707489,1.7131092548370361
jpeg_compression,5,0.43289999999999995,8.010128021240234,0.614057719707489,1.7131092548370361
