large_model,small_model,distortion,severity,variant,accuracy,nll,ece,tim_ece,f1,brier
wideresnet50_2,resnet34,none,0,f_large,0.69788,1.2878855412648407,0.05040045796573162,0.050400469452142715,0.6944511872229867,0.00041159640831119277
wideresnet50_2,resnet34,none,0,f_small,0.6714,1.4033052406369166,0.0447593854854256,0.044759396463632584,0.6679110654911676,0.0004411244931470939
wideresnet50_2,resnet34,none,0,Duo_Joint_TS,0.7097,1.200890612665918,0.018280045031905175,0.018280038610100746,0.7063082562930558,0.0003926945427631213
wideresnet50_2,resnet34,none,0,Duo_Joint_PTS,0.73776,1.065746550746104,0.04982933683201671,0.04982934147119522,0.7347285011488757,0.0002699435630010663
wideresnet50_2,resnet34,gaussian_noise,3,f_large,0.31504,3.597889884123153,0.12882153867032378,0.12882155179977417,0.32183932046848435,0.000834489338809373
wideresnet50_2,resnet34,gaussian_noise,3,f_small,0.2991,3.75035597982766,0.1570254075897485,0.15702538192272186,0.31879654211115016,0.0008581129611851336
wideresnet50_2,resnet34,gaussian_noise,3,Duo_Joint_TS,0.36326,3.110654241936867,0.030030981646478175,0.03003096953034401,0.3735052309528029,0.0007653590180506977
wideresnet50_2,resnet34,gaussian_noise,3,Duo_Joint_PTS,0.35114,4.356443144747659,0.17409663787692786,0.17409661412239075,0.36291000992280553,0.0008628177762229053
wideresnet50_2,resnet34,gaussian_noise,4,f_large,0.13836,5.2739052259783445,0.17014439230643214,0.17014437913894653,0.144515348746825,0.0009961114715169965
wideresnet50_2,resnet34,gaussian_noise,4,f_small,0.1177,5.844531026599252,0.23893037958048283,0.23893038928508759,0.13540284984006593,0.0010486261845447224
wideresnet50_2,resnet34,gaussian_noise,4,Duo_Joint_TS,0.16328,4.723304531570567,0.07351876707922668,0.0735187754034996,0.17819419274077547,0.0009370250054192662
wideresnet50_2,resnet34,gaussian_noise,4,Duo_Joint_PTS,0.15536,5.8918736814922354,0.14967237090319396,0.14967237412929535,0.1699052600060826,0.0010103222401477336
wideresnet50_2,resnet34,gaussian_noise,5,f_large,0.02998,7.1057742602612395,0.1969146819856763,0.1969146728515625,0.030641246159857916,0.0010749314724408615
wideresnet50_2,resnet34,gaussian_noise,5,f_small,0.02268,8.306349102403228,0.3059417086820304,0.30594170093536377,0.02330972326516946,0.0011525535333075003
wideresnet50_2,resnet34,gaussian_noise,5,Duo_Joint_TS,0.03144,6.712835114353451,0.1345877222135663,0.13458774983882904,0.03388548501083098,0.0010308163983764535
wideresnet50_2,resnet34,gaussian_noise,5,Duo_Joint_PTS,0.03086,6.841481417842234,0.07631903168138117,0.07631903886795044,0.03274624595411759,0.0010355174642045642
