large_model,small_model,distortion,severity,variant,accuracy,nll,ece,tim_ece,f1,brier
convnext_base,resnet34,none,0,f_large,0.78896,1.0471282952998207,0.1374130919779092,0.1374131292104721,0.7867645323776962,0.0003227461190330467
convnext_base,resnet34,none,0,f_small,0.6714,1.4033052406369166,0.0447593854854256,0.044759396463632584,0.6679110654911676,0.0004411244931470939
convnext_base,resnet34,none,0,Duo_Joint_TS,0.78976,0.8763989704047618,0.0446682055503875,0.044668249785900116,0.7871930353885616,0.0002998988901874825
convnext_base,resnet34,none,0,Duo_Joint_PTS,0.80518,0.8190071272260514,0.02987858762770891,0.029878588393330574,0.8024369854135502,0.0001942928606062638
convnext_base,resnet34,gaussian_noise,3,f_large,0.62806,1.8734070176240185,0.14800435452744365,0.14800435304641724,0.6266697278579112,0.000525703335363608
convnext_base,resnet34,gaussian_noise,3,f_small,0.2991,3.75035597982766,0.1570254075897485,0.15702538192272186,0.31879654211115016,0.0008581129611851336
convnext_base,resnet34,gaussian_noise,3,Duo_Joint_TS,0.6293,1.6758069334864538,0.022737468765825032,0.02273746393620968,0.6281808785127166,0.0004923445972976218
convnext_base,resnet34,gaussian_noise,3,Duo_Joint_PTS,0.61704,2.9229368386309966,0.17253025874078273,0.17253026366233826,0.618019794436665,0.0005820673420413068
convnext_base,resnet34,gaussian_noise,4,f_large,0.48982,2.6789504151583103,0.12440512405917048,0.12440513074398041,0.49679223901324143,0.0006679666099924093
convnext_base,resnet34,gaussian_noise,4,f_small,0.1177,5.844531026599252,0.23893037958048283,0.23893038928508759,0.13540284984006593,0.0010486261845447224
convnext_base,resnet34,gaussian_noise,4,Duo_Joint_TS,0.49032,2.522205291294133,0.012251563069224357,0.012251561507582664,0.49773442495316217,0.0006431469745520823
convnext_base,resnet34,gaussian_noise,4,Duo_Joint_PTS,0.46926,3.946942634838888,0.1843538953050971,0.18435391783714294,0.4837552898690471,0.0007441340554216469
convnext_base,resnet34,gaussian_noise,5,f_large,0.27042,4.266141251425071,0.07032267034813762,0.0703226774930954,0.2952787052922313,0.0008598639565717337
convnext_base,resnet34,gaussian_noise,5,f_small,0.02268,8.306349102403228,0.3059417086820304,0.30594170093536377,0.02330972326516946,0.0011525535333075003
convnext_base,resnet34,gaussian_noise,5,Duo_Joint_TS,0.26908,4.213967125893549,0.010873039199784398,0.010873048566281796,0.2941689768912125,0.0008515668862887193
convnext_base,resnet34,gaussian_noise,5,Duo_Joint_PTS,0.22314,5.519083927498716,0.13578145989850163,0.1357814371585846,0.25726881973148047,0.0009398470194012756
