large_model,small_model,distortion,severity,variant,accuracy,nll,ece
wideresnet50_2,resnet34,none,0,f_large,0.6978800296783447,1.2878855466842651,15.407562255859375
wideresnet50_2,resnet34,none,0,f_small,0.6714000105857849,1.403305172920227,14.766509056091309
wideresnet50_2,resnet34,none,0,f_large_TS,0.6978800296783447,1.1815712451934814,36.91832733154297
wideresnet50_2,resnet34,none,0,f_small_TS,0.6714000105857849,1.2721644639968872,40.832237243652344
wideresnet50_2,resnet34,none,0,Duo_Joint_TS,0.7392200231552124,1.1374280452728271,77.54550170898438
wideresnet50_2,resnet34,gaussian_noise,3,f_large,0.3150399923324585,3.5978899002075195,10.746587753295898
wideresnet50_2,resnet34,gaussian_noise,3,f_small,0.29910001158714294,3.7503559589385986,10.904874801635742
wideresnet50_2,resnet34,gaussian_noise,3,f_large_TS,0.3150399923324585,4.8966288566589355,17.476396560668945
wideresnet50_2,resnet34,gaussian_noise,3,f_small_TS,0.29910001158714294,5.2583818435668945,18.289867401123047
wideresnet50_2,resnet34,gaussian_noise,3,Duo_Joint_TS,0.3493399918079376,5.967953681945801,26.881694793701172
wideresnet50_2,resnet34,gaussian_noise,4,f_large,0.13835999369621277,5.2739057540893555,8.805437088012695
wideresnet50_2,resnet34,gaussian_noise,4,f_small,0.1177000030875206,5.8445305824279785,9.548739433288574
wideresnet50_2,resnet34,gaussian_noise,4,f_large_TS,0.13835999369621277,6.624722480773926,12.151473999023438
wideresnet50_2,resnet34,gaussian_noise,4,f_small_TS,0.1177000030875206,6.813973903656006,11.352543830871582
wideresnet50_2,resnet34,gaussian_noise,4,Duo_Joint_TS,0.15573999285697937,7.26773738861084,15.297087669372559
wideresnet50_2,resnet34,gaussian_noise,5,f_large,0.029980000108480453,7.105774402618408,7.528674125671387
wideresnet50_2,resnet34,gaussian_noise,5,f_small,0.022679999470710754,8.306349754333496,9.069964408874512
wideresnet50_2,resnet34,gaussian_noise,5,f_large_TS,0.029980000108480453,7.745091438293457,8.160423278808594
wideresnet50_2,resnet34,gaussian_noise,5,f_small_TS,0.022679999470710754,7.247943878173828,6.094563961029053
wideresnet50_2,resnet34,gaussian_noise,5,Duo_Joint_TS,0.0313199982047081,7.62336540222168,7.670351028442383
