large_model,small_model,distortion,severity,variant,accuracy,nll,ece,f1,brier
convnext_base,resnet34,none,0,f_large,0.78896,1.0471282952998207,0.1374130919779092,0.7867645323776962,0.0003227461190330467
convnext_base,resnet34,none,0,f_small,0.6714,1.4033052406369166,0.0447593854854256,0.6679110654911676,0.0004411244931470939
convnext_base,resnet34,none,0,f_large_TS,0.78896,0.9498637960063211,0.04398003934770822,0.7867645323776962,0.00030220877929084945
convnext_base,resnet34,none,0,f_small_TS,0.6714,1.4146254125628246,0.06106465135961771,0.6679110654911676,0.0004465119979986477
convnext_base,resnet34,none,0,f_large_PTS,0.78896,0.8800676799500585,0.03212678694240749,0.7867645323776962,0.00020188812505986424
convnext_base,resnet34,none,0,f_small_PTS,0.6714,1.2656851124009476,0.06723268445789814,0.6679110654911676,0.0003308704588676482
convnext_base,resnet34,none,0,Duo_Joint_TS,0.78976,0.8763989704047618,0.0446682055503875,0.7871930353885616,0.0002998988901874825
convnext_base,resnet34,none,0,Duo_Joint_PTS,0.80518,0.8190071272260514,0.02987858762770891,0.8024369854135502,0.0001942928606062638
convnext_base,resnet34,none,0,tent_f_large,0.78896,1.0471282952998207,0.1374130919779092,0.7867645323776962,0.0003227461190330467
convnext_base,resnet34,none,0,tent_f_large_TS_naive,0.78896,0.9498637960063211,0.04398003934770822,0.7867645323776962,0.00030220877929084945
convnext_base,resnet34,none,0,tent_f_large_TS_pts,0.78896,0.8800676769479767,0.03212678572721779,0.7867645323776962,0.00020188812433140273
