distortion,severity,variant,accuracy,nll,ece
none,0,f_large,0.7889599800109863,1.0471283197402954,7.257143497467041
none,0,f_small,0.6978800296783447,1.2878855466842651,15.407562255859375
none,0,tent_f_large,0.7725200057029724,1.151442289352417,12.10913372039795
none,0,f_large_TS,0.7889599800109863,0.9498666524887085,8.05194091796875
none,0,f_small_TS,0.6978800296783447,1.2905077934265137,11.271086692810059
none,0,tent_f_large_TS,0.7725200057029724,1.2263147830963135,13.38158893585205
none,0,Duo_Joint_TS,0.7881199717521667,0.8685781955718994,10.354110717773438
gaussian_noise,1,f_large,0.7447800040245056,1.2511790990829468,7.050217628479004
gaussian_noise,1,f_small,0.5961400270462036,1.777969241142273,13.968408584594727
gaussian_noise,1,tent_f_large,0.7744200229644775,1.0981166362762451,11.841221809387207
gaussian_noise,1,f_large_TS,0.7447800040245056,1.1391643285751343,7.820210933685303
gaussian_noise,1,f_small_TS,0.5961400270462036,1.7734124660491943,10.227692604064941
gaussian_noise,1,tent_f_large_TS,0.7744200229644775,1.1657081842422485,13.087398529052734
gaussian_noise,1,Duo_Joint_TS,0.7455800175666809,1.047777533531189,9.644928932189941
