large_model,small_model,distortion,severity,variant,accuracy,nll,ece
wideresnet50_2,resnet34,none,0,f_large,0.6978800296783447,1.2878855466842651,15.407562255859375
wideresnet50_2,resnet34,none,0,f_small,0.6714000105857849,1.403305172920227,14.766509056091309
wideresnet50_2,resnet34,none,0,f_large_TS,0.6978800296783447,1.146775722503662,40.77708435058594
wideresnet50_2,resnet34,none,0,f_small_TS,0.6714000105857849,1.305633544921875,45.7657470703125
wideresnet50_2,resnet34,none,0,Duo_Joint_TS,0.7355599999427795,1.2014217376708984,85.92697143554688
wideresnet50_2,resnet34,gaussian_noise,3,f_large,0.3150399923324585,3.5978899002075195,10.746587753295898
wideresnet50_2,resnet34,gaussian_noise,3,f_small,0.29910001158714294,3.7503559589385986,10.904874801635742
wideresnet50_2,resnet34,gaussian_noise,3,f_large_TS,0.3150399923324585,4.616918563842773,15.911255836486816
wideresnet50_2,resnet34,gaussian_noise,3,f_small_TS,0.29910001158714294,5.691141128540039,21.543638229370117
wideresnet50_2,resnet34,gaussian_noise,3,Duo_Joint_TS,0.3454799950122833,6.699934482574463,32.777671813964844
wideresnet50_2,resnet34,gaussian_noise,4,f_large,0.13835999369621277,5.2739057540893555,8.805437088012695
wideresnet50_2,resnet34,gaussian_noise,4,f_small,0.1177000030875206,5.8445305824279785,9.548739433288574
wideresnet50_2,resnet34,gaussian_noise,4,f_large_TS,0.13835999369621277,5.8817667961120605,9.661905288696289
wideresnet50_2,resnet34,gaussian_noise,4,f_small_TS,0.1177000030875206,8.399357795715332,15.993870735168457
wideresnet50_2,resnet34,gaussian_noise,4,Duo_Joint_TS,0.15469999611377716,7.795937538146973,16.979084014892578
wideresnet50_2,resnet34,gaussian_noise,5,f_large,0.029980000108480453,7.105774402618408,7.528674125671387
wideresnet50_2,resnet34,gaussian_noise,5,f_small,0.022679999470710754,8.306349754333496,9.069964408874512
wideresnet50_2,resnet34,gaussian_noise,5,f_large_TS,0.029980000108480453,6.693653106689453,5.345245361328125
wideresnet50_2,resnet34,gaussian_noise,5,f_small_TS,0.022679999470710754,8.479613304138184,8.725570678710938
wideresnet50_2,resnet34,gaussian_noise,5,Duo_Joint_TS,0.031220000237226486,7.011748790740967,5.336374721637965
wideresnet50_2,resnet34,shot_noise,3,f_large,0.2852399945259094,3.844343423843384,10.444395065307617
wideresnet50_2,resnet34,shot_noise,3,f_small,0.2777400016784668,4.023567199707031,10.903430938720703
wideresnet50_2,resnet34,shot_noise,3,f_large_TS,0.2852399945259094,4.83750057220459,14.97764778137207
wideresnet50_2,resnet34,shot_noise,3,f_small_TS,0.2777400016784668,5.7999701499938965,20.175247192382812
wideresnet50_2,resnet34,shot_noise,3,Duo_Joint_TS,0.31501999497413635,7.197000503540039,31.105995178222656
wideresnet50_2,resnet34,shot_noise,4,f_large,0.09954000264406204,5.907049179077148,8.632116317749023
wideresnet50_2,resnet34,shot_noise,4,f_small,0.08822000026702881,6.484013080596924,9.511815071105955
wideresnet50_2,resnet34,shot_noise,4,f_large_TS,0.09954000264406204,6.273926258087158,8.631482124328613
wideresnet50_2,resnet34,shot_noise,4,f_small_TS,0.08822000026702881,8.37103271484375,13.590752601623535
wideresnet50_2,resnet34,shot_noise,4,Duo_Joint_TS,0.11156000196933746,8.2423677444458,14.602567672729492
wideresnet50_2,resnet34,shot_noise,5,f_large,0.03700000047683716,7.206846714019775,8.137356758117676
wideresnet50_2,resnet34,shot_noise,5,f_small,0.030820000916719437,8.116140365600586,9.300973892211914
wideresnet50_2,resnet34,shot_noise,5,f_large_TS,0.03700000047683716,6.7981085777282715,6.154474258422852
wideresnet50_2,resnet34,shot_noise,5,f_small_TS,0.030820000916719437,8.54296588897705,9.510164260864258
wideresnet50_2,resnet34,shot_noise,5,Duo_Joint_TS,0.039900001138448715,7.7058281898498535,7.616028785705566
wideresnet50_2,resnet34,impulse_noise,3,f_large,0.28933998942375183,3.789147138595581,10.514446258544922
wideresnet50_2,resnet34,impulse_noise,3,f_small,0.2800399959087372,3.8975441455841064,10.812313079833984
wideresnet50_2,resnet34,impulse_noise,3,f_large_TS,0.28933998942375183,4.807234764099121,14.949400901794434
wideresnet50_2,resnet34,impulse_noise,3,f_small_TS,0.2800399959087372,5.345789909362793,18.363880157470703
wideresnet50_2,resnet34,impulse_noise,3,Duo_Joint_TS,0.32038000226020813,6.0024261474609375,25.393672943115234
wideresnet50_2,resnet34,impulse_noise,4,f_large,0.11343999952077866,5.571001052856445,8.68813705444336
wideresnet50_2,resnet34,impulse_noise,4,f_small,0.1048400029540062,5.948197364807129,9.534354209899902
wideresnet50_2,resnet34,impulse_noise,4,f_large_TS,0.11343999952077866,6.1531758308410645,9.317764282226562
wideresnet50_2,resnet34,impulse_noise,4,f_small_TS,0.1048400029540062,7.358336448669434,12.668079376220703
wideresnet50_2,resnet34,impulse_noise,4,Duo_Joint_TS,0.12943999469280243,7.158555030822754,12.926860200744867
wideresnet50_2,resnet34,impulse_noise,5,f_large,0.026419999077916145,7.149185657501221,7.659021854400635
wideresnet50_2,resnet34,impulse_noise,5,f_small,0.02085999958217144,8.190930366516113,9.247408866882324
