large_model,small_model,distortion,severity,variant,accuracy,nll,ece,f1,brier
convnext_base,resnet34,none,0,f_large,0.78896,1.0471282952998207,0.1374130919779092,0.7867645323776962,0.0003227461190330467
convnext_base,resnet34,none,0,f_small,0.6714,1.4033052406369166,0.0447593854854256,0.6679110654911676,0.0004411244931470939
convnext_base,resnet34,none,0,f_large_TS,0.78896,0.9498637960063211,0.04398003934770822,0.7867645323776962,0.00030220877929084945
convnext_base,resnet34,none,0,f_small_TS,0.6714,1.4146254125628246,0.06106465135961771,0.6679110654911676,0.0004465119979986477
convnext_base,resnet34,none,0,f_large_PTS,0.78896,0.8766284646022923,0.03432428490027785,0.7867645323776962,0.00020233705005634573
convnext_base,resnet34,none,0,f_small_PTS,0.6714,1.2476250327025937,0.07193555547088384,0.6679110654911676,0.00032915223415529263
convnext_base,resnet34,none,0,Duo_Joint_TS,0.78976,0.8763989704047618,0.0446682055503875,0.7871930353885616,0.0002998988901874825
convnext_base,resnet34,none,0,Duo_Joint_PTS,0.79072,0.8637583391233213,0.011712009619474412,0.7878479809989128,0.0002905224638019621
convnext_base,resnet34,none,0,tent_f_large,0.788,1.0054565610333615,0.09670586219966412,0.7859609876702575,0.00031308387798137366
convnext_base,resnet34,none,0,tent_f_large_TS_naive,0.78824,0.933039480216591,0.030323298049718138,0.786193300620379,0.0003012377210655719
convnext_base,resnet34,none,0,tent_f_large_TS_pts,0.78848,0.8958817200352247,0.06004606478691101,0.7863000473153821,0.00022232899775859058
convnext_base,resnet34,gaussian_noise,3,f_large,0.62806,1.8734070176240185,0.14800435452744365,0.6266697278579112,0.000525703335363608
convnext_base,resnet34,gaussian_noise,3,f_small,0.2991,3.75035597982766,0.1570254075897485,0.31879654211115016,0.0008581129611851336
convnext_base,resnet34,gaussian_noise,3,f_large_TS,0.62806,1.7642481561727283,0.05214389920070767,0.6266697278579112,0.0005002864037770876
convnext_base,resnet34,gaussian_noise,3,f_small_TS,0.2991,3.56430151490174,0.018401566430032254,0.31879654211115016,0.0008241551883816793
convnext_base,resnet34,gaussian_noise,3,f_large_PTS,0.62806,2.8666566986154534,0.16969629191398622,0.6266697278579112,0.0005668175016561057
convnext_base,resnet34,gaussian_noise,3,f_small_PTS,0.2991,5.216771952254214,0.21731687984824183,0.31879654211115016,0.0009352895721544583
convnext_base,resnet34,gaussian_noise,3,Duo_Joint_TS,0.6293,1.6758069334864538,0.022737468765825032,0.6281808785127166,0.0004923445972976218
convnext_base,resnet34,gaussian_noise,3,Duo_Joint_PTS,0.62858,1.7370288215883563,0.05068002307981253,0.6277496762081213,0.0005007243625653003
convnext_base,resnet34,gaussian_noise,3,tent_f_large,0.64232,1.7325912291221326,0.10534034205392004,0.6401131971651292,0.0004963374523881749
convnext_base,resnet34,gaussian_noise,3,tent_f_large_TS_naive,0.6445,1.6418493470822098,0.024554403576254845,0.6422734267914518,0.0004793026131764615
convnext_base,resnet34,gaussian_noise,3,tent_f_large_TS_pts,0.63912,3.76404023759136,0.20371929732859137,0.6374460015533534,0.0005776351700647801
convnext_base,resnet34,gaussian_noise,4,f_large,0.48982,2.6789504151583103,0.12440512405917048,0.49679223901324143,0.0006679666099924093
convnext_base,resnet34,gaussian_noise,4,f_small,0.1177,5.844531026599252,0.23893037958048283,0.13540284984006593,0.0010486261845447224
convnext_base,resnet34,gaussian_noise,4,f_large_TS,0.48982,2.581385537381867,0.039621483880877495,0.49679223901324143,0.0006465373613533804
convnext_base,resnet34,gaussian_noise,4,f_small_TS,0.1177,5.307753825978884,0.09782469621483236,0.13540284984006593,0.0009770039237470614
convnext_base,resnet34,gaussian_noise,4,f_large_PTS,0.48982,3.844130363702692,0.1911881033951044,0.49679223901324143,0.0007287233858749063
convnext_base,resnet34,gaussian_noise,4,f_small_PTS,0.1177,7.093557879770753,0.2268738208707422,0.13540284984006593,0.001087187030691424
convnext_base,resnet34,gaussian_noise,4,Duo_Joint_TS,0.49032,2.522205291294133,0.012251563069224357,0.49773442495316217,0.0006431469745520823
